rank,time,odds,old,jockey_weight,frame_order,horse_weight
4,1:12.8,5.7,,牝3,7,440(-10)
5,1:12.9,3.2,,牡3,2,506(-2)
1,1:53.8,1.5,牡3,56,7,500(+6)
2,1:53.8,11.9,牡3,56,4,484(0)
3,1:54.2,7.6,,牡3,8,482(+4)
4,1:54.5,5.1,,,2,470(-8)
5,1:54.8,16.1,,,5,444(0)
1,3:27.4,16.6,牡7,60,3,460(0)
2,3:27.5,3.4,59,1/2,2,490(+6)
3,3:27.5,4.3,ハナ,,5,480(+12)
4,3:28.1,21.0,,,1,478(-2)
5,3:28.2,20.8,,牝4,6,472(-2)
1,2:32.3,3.1,牡3,56,8,510(0)
2,2:32.4,1.8,牡3,56,7,484(-2)
3,2:32.5,17.7,牡3,56,3,456(-6)
4,2:32.9,49.6,牝3,54,1,464(-4)
5,2:33.2,7.5,牡3,56,8,448(0)
1,1:10.3,2.5,牝3,54,2,432(-2)
2,1:10.8,6.4,牝3,54,4,444(-8)
3,1:11.0,2.2,牡3,56,3,542(-8)
4,1:11.1,10.6,,牝3,1,414(-2)
5,1:11.2,19.7,,,8,506(+6)
1,1:23.9,2.1,牝5,55,1,440(-6)
2,1:24.1,4.2,,牝5,4,446(-2)
3,1:24.6,4.0,,,5,440(+2)
4,1:24.9,17.5,,,7,458(+2)
5,1:25.7,112.2,,,2,466(-10)
1,1:48.8,10.0,牡6,57,8,458(+2)
2,1:49.2,65.6,牡5,56,8,464(-6)
3,1:49.5,2.6,牡4,57,3,442(+8)
4,1:49.6,7.2,牡4,57,2,506(+6)
5,1:49.6,39.8,牝4,55,6,460(+6)
1,1:09.6,23.3,牡5,57,4,474(+2)
2,1:10.1,1.5,牡5,57,5,520(0)
3,1:10.2,23.5,牡4,57,3,452(+2)
3,1:10.2,12.0,,牡4,6,486(+4)
5,1:10.4,7.4,,牡5,7,466(-6)
1,1:10.6,22.3,牡4,55,1,504(-2)
2,1:10.8,110.7,セ8,54,6,516(-10)
3,1:10.9,5.0,牡8,56,1,450(+4)
4,1:11.0,19.4,牝5,53,2,536(-8)
5,1:11.1,13.6,セ9,53,5,470(-4)
1,3:07.3,10.3,牡4,56,5,502(+10)
2,3:08.2,8.7,牡6,57,7,510(+6)
3,3:08.3,42.2,牡6,56,4,492(-2)
4,3:08.9,79.3,牡7,56,3,506(+2)
5,3:09.0,21.8,牡5,56,8,494(-6)
1,1:51.9,21.9,牝4,55,5,512(-6)
2,1:51.9,2.9,牡5,57,5,486(+2)
3,1:52.2,49.5,牡5,57,6,470(-10)
4,1:52.3,28.5,セ7,57,1,488(-4)
5,1:52.5,27.1,牝5,55,2,508(-6)
1, 3:19.2, 3.6, 牡4, 59, 3, 460(+6)
2,3:19.2,3.3,60,クビ,5,492(+8)
3,3:19.8,4.0,3.1/2,,4,510(-2)
4,3:21.2,21.8,,,5,502(-12)
5,3:21.2,4.4,,牡5,1,456(+6)
1,1:34.5,1.5,牡3,56,7,466(+4)
2,1:34.6,6.5,牡3,56,6,454(0)
3,1:35.4,29.1,牝3,54,4,436(+2)
4,1:35.5,266.3,,牝3,7,462(-2)
5,1:35.6,9.7,,,8,456(-6)
1,1:13.6,1.9,牝3,54,4,434(+2)
2,1:13.8,9.1,牝3,54,3,456(-4)
3,1:14.6,185.3,牝3,54,5,438(+2)
4,1:14.6,7.8,牝3,54,6,426(0)
5,1:14.8,9.6,,牝3,6,468(0)
1,3:30.2,5.1,牡9,60,4,524(+12)
2,3:30.6,17.4,60,2.1/2,6,464(+10)
3,3:31.3,10.9,4,,2,458(0)
4,3:31.4,8.4,,,1,492(+6)
5,3:31.6,3.6,,牡5,7,520(+4)
1,1:26.0,23.2,牡3,56,4,488(+4)
2,1:26.3,3.0,,牡3,4,468(-2)
3,1:26.3,3.7,,牡3,6,486(-2)
4,1:26.4,12.8,,牡3,3,464(-6)
5,1:26.5,74.9,,,6,478(0)
1,1:55.9,7.8,牡3,56,5,494(-14)
2,1:56.2,19.1,牡3,56,8,470(-4)
3,1:56.4,6.1,牡3,56,2,512(+2)
4,1:56.4,40.5,牡3,56,5,446(+6)
5,1:56.7,5.6,牡3,56,8,514(+2)
1,1:20.6,1.7,牡3,56,3,506(+6)
2,1:20.8,54.1,,牝3,6,482(0)
3,1:20.8,34.1,,牝3,7,404(0)
4,1:20.8,5.5,,牝3,7,466(+6)
5,1:20.9,4.7,,,5,536(-2)
1,1:53.5,24.5,牡5,57,2,508(-12)
2,1:54.4,2.6,牡4,57,6,502(+2)
3,1:54.6,19.1,牝4,55,6,434(+4)
4,1:54.6,7.8,牡4,57,7,474(+12)
5,1:54.9,4.1,,牝6,8,480(-6)
1,1:47.6,3.2,牝3,54,5,508(+2)
2,1:47.6,18.1,牝3,54,3,490(+6)
3,1:47.7,5.1,牝3,54,8,410(0)
4,1:47.8,3.6,牝3,54,7,496(+12)
5,1:48.2,3.9,牝3,54,6,472(0)
1,1:32.4,2.7,牡4,55,7,510(+14)
2,1:32.9,4.9,セ5,55,7,460(+4)
3,1:33.1,9.8,牡4,54,8,478(+2)
4,1:33.1,10.3,,牡6,5,474(+12)
5,1:33.1,5.6,,牡5,6,492(+4)
1,1:43.9,2.9,牡3,56,6,448(0)
2,1:43.9,1.9,,牡3,7,474(-8)
3,1:44.2,11.8,,,1,474(-6)
4,1:44.4,5.4,,,4,500(0)
5,1:45.1,32.7,**,,3,470(+6)
1,1:12.1,3.6,牡5,57,5,490(0)
2,1:12.3,41.7,牡7,57,5,488(+2)
3,1:12.6,4.4,牡4,57,2,466(-2)
4,1:13.1,4.1,牡4,57,6,456(+2)
5,1:13.2,31.9,牡4,57,3,522(0)
1,1:54.6,6.8,牝3,54,8,482(-4)
2,1:56.4,6.0,,牝3,2,460(+4)
3,1:56.8,2.9,,牝3,7,480(+2)
4,1:56.9,64.1,,,5,438(-4)
5,1:57.3,35.4,,,8,478(+4)
1,1:13.6,1.7,牝3,54,6,438(+4)
2,1:13.6,5.7,牡3,53,8,440(+6)
3,1:13.7,11.0,牡3,56,3,428(+2)
4,1:13.9,8.8,牝3,54,1,490(0)
5,1:14.0,24.4,牡3,55,5,460(+4)
1,2:08.8,4.7,牡3,56,8,508(+4)
2,2:09.1,3.9,牡3,53,7,482(+8)
3,2:09.7,9.1,牡3,56,1,494(0)
4,2:10.2,8.0,牡3,56,2,496(-6)
5,2:10.6,3.3,,牡3,8,482(-2)
1,1:54.7,13.0,牡3,56,6,478(+6)
2,1:54.7,4.4,牡3,53,3,500(-2)
3,1:55.8,31.8,,セ3,5,444(0)
4,1:55.9,1.7,,,2,526(-4)
5,1:56.2,16.4,,,4,496(0)
1,2:02.3,3.1,牝3,54,5,428(-6)
2,2:02.4,2.6,牝3,54,7,472(-10)
3,2:02.7,11.1,,牝3,5,472(-4)
4,2:02.8,7.2,,牡3,6,464(+2)
5,2:02.9,9.9,,牡3,4,466(-6)
1,1:12.3,3.4,牡3,56,6,474(-2)
2,1:12.6,21.6,牡3,55,4,452(+8)
3,1:12.8,5.9,牝3,54,5,474(0)
4,1:12.9,68.7,牡3,53,1,476(-6)
5,1:13.0,14.5,牡3,56,2,448(0)
1,1:34.3,1.6,牝4,55,7,468(-2)
2,1:34.7,34.8,牡6,57,7,500(+2)
3,1:34.9,6.5,,牝4,5,416(+8)
4,1:35.0,97.0,,,6,450(0)
5,1:35.1,5.3,,,1,494(+10)
1,1:24.7,2.5,牡4,57,5,452(-8)
2,1:25.1,8.8,牝5,52,7,462(-2)
3,1:25.2,6.0,牡4,54,8,490(-4)
4,1:25.5,52.4,牡4,54,3,478(-6)
5,1:25.9,7.8,牝4,55,8,508(-10)
1,2:02.1,61.9,牝5,55,3,472(+2)
2,2:02.1,15.6,牝6,55,4,426(-8)
3,2:02.3,15.7,牝6,55,1,448(-4)
4,2:02.4,3.8,牝4,55,5,498(+12)
5,2:02.5,12.1,牝6,55,2,454(+10)
1,2:27.0,8.9,牡4,56,3,462(-10)
2,2:27.2,3.9,牡4,56,6,484(-2)
3,2:27.3,38.6,牡5,57,7,486(-2)
4,2:27.4,22.9,牝5,55,7,450(0)
5,2:27.4,8.4,牡6,57,5,516(+2)
1,1:33.8,5.0,牝4,54,1,486(0)
2,1:33.9,7.3,牡6,57,7,492(-12)
3,1:33.9,16.8,,牡4,8,458(+2)
4,1:33.9,16.6,,牡6,4,506(+12)
5,1:34.1,31.1,,,7,548(-2)
1,1:11.4,11.6,牡5,54,3,516(+8)
2,1:11.9,36.6,セ5,57,5,476(+2)
3,1:12.0,5.9,セ4,54,4,480(-4)
4,1:12.1,2.8,牝4,55,5,464(-8)
5,1:12.1,6.7,牡4,57,3,474(-2)
1,1:25.4,3.1,牝3,51,2,466(+6)
2,1:25.9,2.9,牝3,54,8,510(+4)
3,1:26.2,8.2,牝3,54,1,466(0)
4,1:26.9,6.8,,牝3,6,440(0)
5,1:27.1,30.7,,牝3,4,450(0)
1,1:54.5,3.2,牡3,55,5,572(-2)
2,1:54.8,6.1,,牡3,5,460(-4)
3,1:54.9,5.0,,牡3,2,474(0)
4,1:55.2,41.3,,牡3,6,456(0)
5,1:55.6,8.4,,,3,504(+4)
1,1:26.0,10.4,牡3,52,5,500(0)
2,1:26.1,19.9,牡3,56,8,506(-8)
3,1:26.1,2.9,牡3,56,4,480(+6)
4,1:26.3,26.6,牡3,56,1,450(-2)
5,1:26.6,78.9,,牡3,5,486(0)
1,1:46.8,5.0,牡3,56,3,428(+4)
2,1:46.9,20.7,牡3,56,1,488(+30)
3,1:47.1,84.6,牝3,54,7,488(0)
4,1:47.1,24.3,牡3,56,8,460(-4)
5,1:47.2,2.2,牝3,54,8,444(-2)
1,1:53.2,14.3,牡3,53,6,468(0)
2,1:53.8,90.4,牡3,56,3,506(-6)
3,1:53.9,97.0,,牡3,5,506(-2)
4,1:54.1,2.9,,牡3,4,480(0)
5,1:54.2,69.3,,牡3,1,498(+2)
1,1:59.1,3.3,牡4,57,8,456(+2)
2,2:00.2,6.3,牡5,54,7,456(-2)
3,2:00.2,2.6,牡4,57,1,502(+12)
4,2:00.3,10.5,牡4,57,4,500(+10)
5,2:00.3,20.8,,牝4,6,476(+12)
1,1:12.2,8.3,牡5,57,2,496(-4)
2,1:12.3,4.5,牝4,55,4,452(-2)
3,1:12.3,3.1,牡4,57,1,498(-4)
4,1:12.7,7.8,牡4,57,7,492(-4)
5,1:12.8,5.9,牡4,57,5,480(0)
1,3:26.8,3.2,牡7,60,3,454(-6)
2,3:27.4,1.7,62,3.1/2,5,464(-4)
3,3:29.7,16.3,大,,1,476(+16)
4,3:30.0,8.7,,,7,512(+4)
5,3:30.2,22.6,,牡6,6,484(-6)
1,2:26.3,5.6,牡3,56,1,472(+8)
2,2:26.5,4.8,牡3,56,6,476(-8)
3,2:26.6,13.1,牡3,56,8,488(-6)
4,2:26.8,1.7,牡3,56,2,476(-4)
5,2:26.8,10.6,牡3,56,4,498(+6)
1,1:21.0,1.4,牡4,57,2,456(-6)
2,1:21.0,20.5,牡5,57,6,492(-2)
3,1:21.2,4.1,牝5,55,3,478(0)
4,1:21.2,27.4,,牡5,1,488(0)
5,1:21.4,27.8,,牝6,4,458(+2)
1,1:23.0,11.4,牡7,57,4,488(+2)
2,1:23.4,25.9,牡8,55,4,496(-4)
3,1:23.4,3.3,牡5,55,8,508(-2)
4,1:23.4,7.2,牡7,57,3,468(-2)
5,1:23.5,15.9,牡4,56,3,520(+4)
1,1:51.9,4.5,牡4,57,5,526(+8)
2,1:52.1,6.5,牡4,57,2,506(+4)
3,1:52.4,4.5,牡5,57,1,514(+4)
4,1:52.5,15.1,牡4,54,3,480(-4)
5,1:52.9,10.1,牡4,57,6,476(-10)
1,1:54.0,1.8,牝3,54,4,466(-6)
2,1:54.0,2.3,牝3,54,6,474(+2)
3,1:55.4,11.1,牝3,54,6,434(-4)
4,1:56.2,65.3,,牝3,1,420(-4)
5,1:56.4,49.7,,牝3,8,450(+26)
1,1:13.3,17.4,牡3,56,5,504(-2)
2,1:13.3,2.9,牡3,56,2,462(+6)
3,1:13.7,15.2,牡3,56,8,476(+2)
4,1:13.7,7.0,,牡3,3,462(-16)
5,1:13.8,35.5,,牡3,1,438(-6)
1,1:54.6,12.0,牡3,56,6,508(0)
2,1:54.6,2.9,牡3,56,6,466(-6)
3,1:55.1,3.6,牡3,56,7,476(0)
4,1:55.1,3.2,牡3,56,3,482(-2)
5,1:55.2,252.7,牡3,53,4,490(0)
1,2:28.4,20.0,牡3,56,6,450(+6)
2,2:28.5,2.2,牝3,54,5,450(-6)
3,2:28.6,2.1,牡3,56,4,484(0)
4,2:29.2,96.4,牡3,56,5,446(0)
5,2:29.2,102.5,,牡3,7,482(+2)
1,1:33.5,2.7,牡3,56,2,442(+2)
2,1:33.5,8.8,牡3,56,6,516(+2)
3,1:33.6,16.5,牡3,56,1,490(-2)
4,1:33.6,16.4,,牡3,4,480(+2)
5,1:33.7,168.9,,牡3,7,436(+6)
1,2:07.5,1.5,牡4,57,7,480(-2)
2,2:07.9,24.7,牝4,55,2,472(+4)
3,2:08.1,52.5,牡4,57,8,548(-4)
4,2:08.4,34.9,牡5,56,3,516(+4)
5,2:08.6,11.2,セ4,57,6,426(-6)
1,1:52.6,10.5,牝4,55,7,544(-10)
2,1:52.9,100.8,牝4,53,3,464(-8)
3,1:53.0,5.1,牝5,55,6,444(0)
4,1:53.0,11.8,牝5,55,8,506(-2)
5,1:53.1,5.0,牝4,55,6,412(-2)
1,1:24.6,10.3,牡4,57,4,526(0)
2,1:24.7,3.2,牡4,56,5,510(0)
3,1:24.8,260.4,牡6,57,8,494(-2)
4,1:25.0,32.2,,牡4,6,506(+6)
5,1:25.4,28.1,,牝5,1,450(+2)
1,2:01.4,7.1,セ4,57,6,496(0)
2,2:02.8,5.2,牡5,57,7,512(+2)
3,2:02.8,9.9,牡4,57,3,476(+4)
4,2:03.1,9.3,牡4,57,8,472(-14)
5,2:03.2,109.0,,セ7,8,416(-2)
1,1:10.1,10.4,牝4,52,8,484(-4)
2,1:10.2,4.8,牡5,54,5,474(0)
3,1:10.2,6.3,牝6,53,4,420(0)
4,1:10.3,18.1,牝4,54,6,436(+2)
5,1:10.3,10.4,,牝6,3,502(-4)
1,2:01.6,12.2,牝4,55,6,422(-2)
2,2:02.3,68.8,,牡5,1,486(+2)
3,2:02.5,1.8,,,5,472(+16)
4,2:02.5,2.8,,,8,496(-6)
5,2:02.7,5.8,,,2,538(0)
1,1:23.9,16.8,牝6,55,2,480(-4)
2,1:24.0,119.2,牡6,57,4,464(-2)
3,1:24.1,2.4,牝4,55,5,466(0)
4,1:24.2,69.7,牡5,57,3,522(+8)
5,1:24.4,19.6,,牡6,6,498(+6)
1,1:55.8,5.9,牝3,54,4,444(-4)
2,1:55.8,20.6,牝3,51,6,438(-18)
3,1:56.0,2.2,,牝3,8,510(+10)
4,1:56.1,5.5,,牝3,3,476(+4)
5,1:56.9,146.1,,牝3,2,448(0)
1,1:55.1,6.4,牡3,56,3,516(+2)
2,1:55.2,1.8,牡3,56,5,460(-12)
3,1:55.7,4.2,牡3,53,7,510(-2)
4,1:56.3,9.4,牡3,56,6,464(-6)
5,1:56.5,10.0,牡3,56,4,452(+2)
1,2:00.8,3.6,牡3,56,1,482(0)
2,2:00.8,3.7,牡3,56,2,490(-14)
3,2:01.0,10.7,牡3,56,2,464(-2)
4,2:01.1,4.1,牡3,56,6,484(+6)
5,2:01.2,149.9,,牡3,4,474(-6)
1,3:25.2,2.1,牡6,60,8,486(+6)
2,3:25.4,7.7,60,1,6,440(+6)
3,3:26.3,2.8,5,,4,488(-2)
4,3:26.8,33.4,,,7,502(-2)
5,3:27.1,117.7,,牡5,5,496(+4)
1,1:53.0,13.1,牡3,56,5,468(-4)
2,1:53.1,7.8,牡3,56,6,490(0)
3,1:53.2,5.1,牡3,56,7,484(-2)
4,1:53.3,3.6,,牡3,4,520(-2)
5,1:53.4,30.9,,牡3,1,460(-6)
1,1:08.4,4.9,牡3,56,2,488(+2)
2,1:08.4,6.5,牝3,54,8,448(+4)
3,1:08.5,13.3,牝3,54,6,504(-2)
4,1:08.5,3.3,,牝3,1,448(+10)
5,1:08.5,4.9,,牝3,8,502(+8)
1,1:52.6,2.1,牝4,55,8,436(-4)
2,1:53.4,5.1,牝4,55,5,496(-4)
3,1:53.9,4.2,牝4,55,3,434(0)
4,1:54.2,63.4,牝6,55,6,490(-2)
5,1:54.4,10.2,牝4,55,2,456(0)
1,1:24.2,2.0,牝4,55,4,448(+2)
2,1:24.6,14.1,牡4,57,1,490(-10)
3,1:24.8,10.3,牡8,57,7,510(-6)
4,1:24.9,38.2,牡4,54,8,478(0)
5,1:25.4,23.4,セ5,57,2,504(-2)
1,2:11.3,3.3,牡4,57,4,458(+2)
2,2:11.3,26.4,牝6,55,3,430(+4)
3,2:11.5,3.4,牝4,55,6,490(+2)
4,2:11.6,3.0,牡4,57,7,494(+4)
5,2:11.8,101.5,牡7,57,5,484(-2)
1,1:46.0,4.3,牝4,54,4,476(+2)
1,1:46.0,2.0,牡4,56,8,456(+2)
3,1:46.1,10.6,牡4,55,2,502(+2)
4,1:46.2,11.1,,牡7,7,516(+6)
5,1:46.4,8.8,,牡4,7,524(0)
1,1:32.0,3.1,牝4,54,7,476(-6)
2,1:32.0,4.3,,牝4,4,430(-14)
3,1:32.1,24.1,,牝5,1,450(+4)
4,1:32.1,24.3,,牝5,8,456(+22)
5,1:32.2,23.8,,牝4,8,456(-2)
1,1:11.5,2.4,牡5,57,4,450(+4)
2,1:11.5,29.1,,牡4,4,540(+2)
3,1:11.5,22.8,,牡7,6,496(-10)
4,1:11.8,45.3,,牡6,2,438(0)
5,1:12.1,66.6,,牡7,3,460(+2)
1,1:13.0,10.7,牝3,54,2,452(+2)
2,1:13.3,7.5,牝3,54,3,444(+8)
3,1:13.7,11.5,牝3,54,8,470(-2)
4,1:13.7,2.0,牝3,54,7,420(+4)
5,1:13.9,166.4,,牝3,5,434(-4)
1,1:25.2,5.8,牡3,56,4,498(+4)
2,1:25.6,3.8,牡3,56,8,472(0)
3,1:25.9,5.7,牡3,56,7,458(-6)
4,1:25.9,83.4,牡3,56,2,462(0)
5,1:26.0,3.5,,牝3,7,448(+2)
1,2:09.0,94.7,牝3,54,6,430(-10)
2,2:09.3,4.4,牡3,56,4,446(0)
3,2:09.5,5.0,牝3,54,3,488(-10)
4,2:09.5,12.6,牡3,56,8,474(0)
5,2:10.3,12.9,牡3,56,6,476(+2)
1,1:20.6,4.7,牝3,54,7,434(-4)
2,1:20.7,13.9,牝3,54,5,462(+4)
3,1:20.7,3.9,,牡3,3,456(-2)
4,1:20.8,16.0,,セ3,6,444(-6)
5,1:21.0,9.8,,牝3,1,428(-4)
1,1:53.0,3.0,牡4,57,1,476(+6)
2,1:53.1,2.5,牡4,57,4,478(+10)
3,1:53.3,6.2,牡4,57,6,510(-4)
4,1:53.3,15.8,,牡4,7,510(0)
5,1:53.5,23.2,,牡4,2,522(-10)
1,1:24.4,1.7,牡3,56,2,492(-4)
2,1:24.6,23.3,牡3,56,5,474(0)
3,1:24.8,8.1,牡3,56,8,536(-8)
4,1:25.5,46.4,牡3,56,4,484(-4)
5,1:25.6,18.3,,牡3,7,502(-6)
1,1:32.2,2.2,牡4,57,8,510(+10)
2,1:32.4,4.2,牡4,57,5,510(-4)
3,1:32.4,7.1,牡5,57,7,476(-2)
4,1:32.5,6.5,,牝4,4,466(+4)
5,1:32.9,35.4,,牝6,1,450(-4)
1,1:52.1,8.9,牡4,57,7,484(0)
2,1:52.7,13.4,,牡5,4,470(+6)
3,1:52.9,4.9,,セ4,8,450(+6)
4,1:53.4,6.9,,セ7,1,492(+4)
5,1:53.6,32.0,,セ5,8,490(-2)
1,1:58.0,3.5,牝3,54,5,482(+6)
2,1:58.2,12.4,牝3,54,7,442(+2)
3,1:58.3,7.2,牝3,54,7,484(-6)
4,1:58.4,16.1,牝3,54,3,428(0)
5,1:58.4,259.3,牝3,54,8,462(+4)
1,2:35.1,7.1,牝6,53,3,456(0)
2,2:35.1,1.8,牡4,55,4,470(0)
3,2:35.3,10.9,牡4,54,2,488(0)
4,2:35.3,23.2,セ7,55,5,486(0)
5,2:35.8,22.0,牡5,51,6,496(+2)
1,1:31.1,3.6,牝3,55,2,472(0)
2,1:31.1,3.3,牝3,55,8,474(0)
3,1:31.2,15.3,,牝3,1,488(-4)
4,1:31.3,10.5,,牝3,3,444(-6)
5,1:31.8,11.8,,牝3,5,422(-6)
1,1:51.6,9.7,牡7,57,4,530(+6)
2,1:51.6,1.9,牝4,55,4,448(+4)
3,1:51.8,22.5,牡6,57,7,442(-14)
4,1:52.5,3.8,牝4,55,8,486(+6)
5,1:52.8,31.5,セ5,57,1,490(-14)
1,1:54.2,5.4,牝3,53,3,460(0)
2,1:54.5,3.6,牝3,54,3,432(+6)
3,1:54.5,12.3,牝3,54,8,418(-10)
4,1:54.5,2.8,牝3,54,8,488(+4)
5,1:54.7,160.1,牝3,54,2,416(0)
1,1:24.8,2.2,牡3,56,8,488(+4)
2,1:24.9,11.3,牡3,56,6,474(+4)
3,1:25.5,7.6,牝3,51,4,468(+2)
4,1:25.7,11.1,牡3,56,6,468(-4)
5,1:25.8,11.1,,牝3,2,488(-4)
1,1:52.9,3.5,牡3,56,7,474(-2)
2,1:53.1,2.5,牡3,56,8,520(-8)
3,1:53.3,6.2,牡3,56,6,448(0)
4,1:55.1,29.3,牡3,56,2,484(0)
5,1:55.3,104.7,,牡3,1,472(-2)
1,2:02.6,4.5,牝3,54,7,450(-6)
2,2:02.6,3.5,,牝3,5,516(-2)
3,2:02.6,8.7,,牝3,2,432(-2)
4,2:02.8,9.6,,牝3,4,486(+16)
5,2:02.8,5.7,,牝3,3,448(+2)
1,2:16.2,15.3,牝3,54,7,460(-4)
2,2:16.4,3.6,牝3,54,6,506(+8)
3,2:16.5,8.3,牡3,56,7,422(-4)
4,2:16.9,25.5,牝3,54,2,450(0)
5,2:16.9,3.1,牝3,54,3,440(-4)
1,1:11.8,3.7,牡3,55,7,448(-4)
2,1:12.0,2.8,牝3,54,2,454(-8)
3,1:12.3,10.1,牡3,56,5,448(0)
4,1:12.5,16.4,,牝3,4,504(-2)
5,1:12.5,232.8,,牝3,5,420(0)
1,1:49.9,3.3,牡4,57,5,470(-2)
2,1:51.9,29.0,牡5,57,1,468(-2)
3,1:51.9,46.4,セ4,57,7,536(-2)
4,1:52.0,4.0,牡6,57,2,480(-4)
5,1:52.0,127.5,牡4,57,3,528(+14)
1,1:11.6,1.5,牝5,55,8,448(+2)
2,1:12.2,18.1,,牝5,1,494(-2)
3,1:12.5,63.0,,,6,480(0)
4,1:12.6,5.9,,,7,432(0)
5,1:12.6,25.9,,,8,486(-5)
1,1:09.5,6.4,牡4,55,6,480(+6)
2,1:09.5,1.6,牡5,57,3,518(-2)
3,1:09.9,15.0,牝4,52,5,476(+6)
4,1:10.0,39.0,牡5,54,8,514(-4)
5,1:10.1,48.3,牡8,54,7,470(+2)
1,1:10.8,6.9,牡4,57,3,480(+10)
2,1:10.8,14.8,牝5,55,4,462(0)
3,1:10.8,2.7,,牡5,3,550(+2)
4,1:11.0,16.0,,牡6,1,474(-4)
5,1:11.1,21.4,,牡5,6,536(+4)
1,1:34.2,3.4,牡3,56,5,496(-4)
2,1:34.4,43.2,牡3,56,5,468(+2)
3,1:34.5,25.5,牡3,56,6,476(+10)
4,1:34.6,4.3,牡3,56,4,530(-6)
5,1:34.8,26.8,牡3,56,7,450(0)
1,2:03.7,6.4,セ4,57,4,452(-2)
2,2:03.7,11.5,牡5,57,6,466(-6)
3,2:04.0,4.1,牡4,57,5,470(0)
4,2:04.4,2.6,牡4,57,1,492(-2)
5,2:05.0,4.7,牡4,57,5,474(-6)
1,1:12.0,15.3,牝3,54,3,432(+8)
2,1:12.0,3.5,牝3,54,6,442(+2)
2,1:12.0,6.1,牡3,56,7,440(+2)
4,1:12.4,14.3,牝3,51,7,428(0)
5,1:13.0,3.3,牡3,56,4,420(-8)
1,1:24.0,3.7,牡3,56,2,520(-4)
2,1:24.2,2.9,牡3,53,8,504(+6)
3,1:24.7,10.0,牝3,54,7,484(+6)
4,1:24.7,12.1,,牝3,6,424(+2)
5,1:25.1,12.1,,牝3,5,480(+4)
1,1:35.1,3.1,牡3,56,4,456(+4)
2,1:35.2,3.4,,牡3,6,486(+4)
3,1:35.3,37.1,,牡3,7,480(-4)
4,1:35.4,14.9,,,2,456(-4)
5,1:35.6,3.4,,,1,454(0)
1,3:26.9,1.4,牡7,60,2,504(-6)
2,3:27.0,4.1,60,1/2,6,462(-10)
3,3:27.5,5.8,3,,3,464(-6)
4,3:27.8,30.4,,,4,480(0)
5,3:28.1,10.2,,牡5,1,488(0)
1,1:52.4,28.2,牝3,54,7,506(+10)
2,1:52.4,7.2,,牝3,6,468(+6)
3,1:52.5,89.7,,牝3,5,470(0)
4,1:52.5,6.8,,牝3,4,462(-4)
5,1:52.5,7.9,,牝3,6,474(-6)
1,2:01.6,2.7,牡3,56,7,458(-2)
2,2:01.8,6.6,牡3,56,5,502(+2)
3,2:02.2,2.0,牡3,56,4,492(-4)
4,2:02.3,8.9,,牡3,6,464(-2)
5,2:02.4,55.6,,牡3,3,478(-4)
1,1:10.9,25.9,牡4,57,5,502(+8)
2,1:11.2,8.6,セ5,54,6,492(0)
3,1:11.4,2.3,牡5,57,5,506(-8)
4,1:11.6,7.6,牡7,57,3,494(+6)
5,1:11.7,3.3,牡4,57,7,498(0)
1,2:29.3,4.7,牡5,57,6,458(0)
2,2:29.7,4.0,牡4,57,4,528(-12)
3,2:30.2,2.1,,牝4,7,470(-2)
4,2:30.2,15.1,,牡4,3,468(+6)
5,2:30.4,5.6,,,8,512(+6)
1,1:48.7,1.4,牝4,55,4,462(-6)
2,1:48.9,4.0,牡4,57,1,480(-4)
3,1:49.0,8.6,牝4,55,2,460(0)
4,1:49.0,13.8,牡5,57,7,466(+6)
5,1:49.2,33.4,牡5,57,5,486(0)
1,1:20.2,9.0,牡5,57,2,448(-6)
2,1:20.7,13.3,牡5,57,6,510(-2)
3,1:21.1,37.7,牡5,57,8,476(+8)
4,1:21.1,35.3,牝5,55,3,458(0)
5,1:21.1,3.9,牡5,57,5,486(-4)
1,1:49.0,2.9,牡4,56,2,494(0)
2,1:49.3,4.3,牡7,56,4,530(+2)
3,1:49.6,12.3,牡5,58,7,512(+2)
4,1:49.8,23.7,牡5,56,5,510(-2)
5,1:50.0,45.3,牡6,56,1,500(0)
1,1:24.4,6.2,牡4,57,4,456(+4)
2,1:24.6,5.1,セ6,57,2,482(0)
3,1:24.7,2.9,牡5,57,8,494(0)
4,1:24.9,102.7,セ9,57,6,478(0)
5,1:24.9,11.9,牡4,57,1,512(0)
1,3:23.1,4.0,セ4,59,1,450(-6)
2,3:24.3,7.7,60,7,5,496(+6)
3,3:25.2,64.3,5,,4,556(-2)
4,3:26.0,159.3,,,2,474(-10)
5,3:26.1,10.6,,牡4,8,522(+2)
1,1:21.4,5.0,牝3,54,6,466(-4)
2,1:21.9,94.5,牝3,54,1,424(+8)
3,1:21.9,2.8,牡3,56,3,464(+2)
4,1:22.1,11.5,牡3,56,5,476(+4)
5,1:22.2,2.4,,牝3,8,424(0)
1,1:12.6,1.4,牡3,56,5,468(+6)
2,1:13.7,9.0,牡3,56,5,430(-2)
3,1:13.8,29.9,牝3,51,3,428(+4)
4,1:13.9,20.7,牝3,54,7,470(0)
5,1:14.1,10.0,牡3,56,1,466(+4)
1,3:30.0,8.6,牡5,60,4,464(+6)
2,3:30.3,3.2,61,2,6,520(-4)
3,3:30.5,26.3,1.1/4,,1,478(+2)
4,3:31.5,22.4,,,2,454(-6)
5,3:31.7,14.6,,牡8,3,480(-6)
