1,1:54.8,17.2,牝3,54,8,446(-8)
2,1:55.5,5.6,牝3,54,5,468(+2)
3,1:55.6,3.4,牝3,54,3,460(0)
4,1:56.1,33.9,牝3,51,4,486(-2)
5,1:56.2,2.7,牝3,54,7,452(-4)
1,1:25.4,3.1,牡3,56,5,442(+2)
2,1:25.7,78.2,牝3,54,3,446(+10)
3,1:25.7,2.6,牡3,56,1,440(0)
4,1:26.0,23.0,牡3,56,6,500(-2)
5,1:26.4,6.0,牝3,54,1,440(-2)
1,1:13.1,3.9,牡3,56,6,462(-2)
2,1:13.2,9.4,牝3,54,5,456(+8)
3,1:13.2,3.6,牡3,56,7,486(-6)
4,1:13.4,12.5,,牡3,5,476(-4)
5,1:14.3,77.0,,牡3,4,458(0)
1,1:23.1,2.7,牝3,54,5,418(0)
2,1:23.2,11.6,牝3,54,2,454(-4)
3,1:23.5,4.4,牝3,54,6,410(-14)
4,1:23.6,13.0,牡3,56,1,440(0)
5,1:23.8,357.2,牡3,56,7,460(+10)
1,1:54.3,3.8,牡3,55,8,460(-4)
2,1:54.9,3.7,牡3,56,7,506(-8)
3,1:55.7,7.4,,セ3,5,476(-4)
4,1:55.8,134.1,,牡3,1,490(-10)
5,1:55.9,9.2,,牡3,8,470(-2)
1,1:21.6,3.2,牡3,56,2,502(+12)
2,1:21.6,112.8,牡3,56,4,450(-2)
3,1:21.8,1.9,牡3,56,3,464(+2)
4,1:21.9,7.7,牝3,54,1,464(0)
5,1:22.2,131.7,牡3,56,7,434(-2)
1,1:53.1,3.6,牝5,55,4,506(-2)
2,1:53.1,39.5,,牝5,6,500(-2)
3,1:53.3,3.4,,牝4,1,498(+4)
4,1:53.4,2.9,,牝5,2,498(0)
5,1:54.0,6.9,,,8,454(-2)
1,1:25.3,2.5,牡4,57,5,514(+10)
2,1:25.4,18.7,牝5,55,1,468(+10)
3,1:25.6,4.3,牡4,57,6,502(-4)
4,1:26.3,19.5,セ4,57,8,494(-6)
5,1:26.4,8.0,牡4,57,3,440(+2)
1,1:47.0,6.1,牝3,54,8,464(0)
2,1:47.1,2.0,牝3,54,8,448(-6)
3,1:47.5,7.4,牝3,54,5,470(+4)
4,1:47.5,14.9,牝3,54,3,428(-2)
5,1:47.6,6.7,,牝3,6,480(-12)
1,1:34.1,19.1,牡6,53,1,506(0)
2,1:34.1,16.1,牝4,52,7,456(0)
3,1:34.2,3.8,牡4,55,5,448(-10)
4,1:34.4,2.5,牝5,55,5,494(-2)
5,1:34.6,17.5,牝6,52,6,464(-4)
1,1:46.5,2.5,牡3,56,1,522(0)
2,1:46.8,3.9,牡3,56,5,502(-2)
3,1:46.8,5.1,牡3,56,3,460(-4)
4,1:46.9,52.9,牡3,56,2,492(-8)
5,1:47.1,68.4,牡3,56,6,468(+4)
1,1:12.7,3.0,牝4,54,7,488(-6)
2,1:12.9,15.0,牝5,55,3,474(+2)
3,1:13.0,8.6,牝5,55,5,420(-10)
4,1:13.0,3.1,牝4,55,1,444(0)
5,1:13.7,8.5,牝5,55,2,472(-4)
1,1:26.6,3.1,牝3,54,2,464(+12)
2,1:26.6,3.1,,牝3,4,476(-2)
3,1:26.7,6.8,,,1,470(+2)
4,1:26.9,5.2,,,5,468(0)
5,1:27.1,16.0,**,,6,452(+2)
1,1:13.5,14.7,牡3,56,6,440(-2)
2,1:13.5,2.9,牡3,56,8,502(+2)
3,1:13.9,12.5,セ3,56,7,432(+2)
4,1:14.2,2.3,牝3,54,3,466(+6)
5,1:14.6,28.5,牡3,55,6,506(-2)
1,1:55.4,4.8,牡3,56,6,484(-10)
2,1:55.5,6.1,牡3,56,4,478(+4)
3,1:55.7,6.8,,牡3,2,478(-6)
4,1:55.8,7.3,,牡3,8,540(-2)
5,1:56.4,43.6,,牡3,5,450(-2)
1,3:22.1,43.0,牡5,60,4,492(+2)
2,3:22.1,4.9,59,ハナ,6,494(+18)
3,3:22.2,16.7,3/4,,7,490(-4)
4,3:22.8,2.0,,,5,440(-4)
5,3:22.9,9.2,,牡4,2,502(-2)
1,1:47.9,2.4,牝3,54,3,464(+2)
2,1:48.1,3.1,牡3,56,1,468(-8)
3,1:48.3,55.3,,牡3,7,452(+4)
4,1:48.6,75.8,,牡3,6,432(-6)
5,1:48.7,62.4,,牡3,6,428(0)
1,2:30.1,8.9,牡3,56,7,492(+4)
2,2:30.1,2.5,牡3,56,8,492(-12)
3,2:30.4,87.5,牡3,56,6,440(-4)
4,2:30.4,5.5,牡3,56,1,450(-4)
5,2:30.8,6.7,牡3,56,5,460(0)
1,1:25.7,39.6,牡3,56,7,492(+4)
2,1:25.7,3.7,牡3,56,8,462(-6)
